,team_nusers,team_degree,team_degree_centrality,team_betweenness_centrality,team_closeness_centrality,team_eigenvector_centrality,team_pagerank,team_avg_users_nshot,team_avg_users_in_degree,team_avg_users_out_degree,team_avg_users_rank,team_avg_users_diversity,team_avg_users_nskills,team_avg_users_nfollowers,team_avg_users_nfollowings,team_avg_users_avg_shots_ranking,team_avg_users_avg_shots_ntags,team_avg_users_avg_shots_ncomments,team_avg_users_avg_shots_nlikes,team_avg_users_avg_shots_nviews,team_avg_users_avg_shots_diversity
383,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,26.250000,20.750000,101.250000,0.075000,0.740592,2.500000,159.250000,467.250000,0.045736,2.776766,0.002982,3.546944,105.257974,0.264369
384,1,2,0.000493,0.000000,0.000493,0.000000,0.000606,2.000000,2.000000,24.000000,0.750000,1.742600,4.000000,6.000000,57.000000,0.000000,0.000000,1.500000,15.750000,245.500000,0.000000
385,1,1,0.000246,0.000000,0.000246,0.000000,0.000606,86.000000,14.000000,66.000000,0.285714,1.892003,7.000000,175.000000,159.000000,0.000910,0.038399,0.009735,0.132504,5.074500,0.003758
386,0,1,0.000246,0.000000,0.000246,0.000000,0.000606,,,,,,,,,,,,,,
387,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,14.250000,6.500000,31.500000,0.055556,0.462280,2.250000,54.000000,72.250000,0.007049,0.413447,0.115532,0.930243,19.063629,0.049276
388,8,0,0.000000,0.000000,0.000000,0.000000,0.000091,0.890625,1.359375,6.390625,0.196788,0.088243,0.406250,5.390625,12.593750,0.004856,0.234695,0.189710,2.206007,50.520260,0.015374
389,4,0,0.000000,0.000000,0.000000,0.000000,0.000091,9.375000,17.750000,11.437500,0.128596,0.572153,1.875000,123.250000,34.937500,0.016100,0.810116,0.938496,4.882662,119.400380,0.064439
390,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,61.000000,50.000000,45.000000,0.400000,3.161869,10.000000,396.000000,99.000000,0.004420,0.114485,0.025800,0.596883,16.593926,0.014237
391,0,1,0.000246,0.000000,0.000329,0.000000,0.000472,,,,,,,,,,,,,,
392,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,5.250000,3.750000,11.500000,2.825000,0.662230,2.500000,25.750000,23.500000,0.012924,0.434949,0.130102,1.665816,48.489796,0.050442
393,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,20.000000,80.000000,35.000000,0.300000,2.124994,10.000000,645.000000,147.000000,0.004036,0.515000,0.052500,2.297500,26.237500,0.062307
394,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,1.500000,1.000000,4.000000,0.000000,0.000000,0.000000,2.500000,13.000000,0.025823,3.020000,0.260000,10.800000,125.870000,0.046051
395,1,2,0.000493,0.000068,0.019060,0.000118,0.000586,10.000000,3.000000,15.000000,0.333333,1.455863,6.000000,17.000000,24.000000,0.049167,0.270000,0.090000,0.860000,22.890000,0.041346
396,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,17.000000,0.000000,6.000000,0.000000,0.000000,0.000000,7.000000,8.000000,0.006920,0.131488,0.010381,0.332180,8.110727,0.007666
397,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,10.250000,1.250000,3.500000,0.000000,0.000000,0.000000,7.000000,6.500000,0.006450,0.195985,0.009103,0.377143,8.395689,0.023935
398,3,0,0.000000,0.000000,0.000000,0.000000,0.000091,2.555556,2.333333,6.888889,0.055556,0.443923,1.666667,6.888889,13.666667,0.006373,1.448611,0.392222,10.726111,152.212500,0.106357
399,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,9.500000,1.000000,15.250000,0.050000,0.385861,2.500000,9.500000,54.250000,0.002193,0.148125,0.012232,0.527360,6.800944,0.007359
400,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,10.000000,8.000000,114.000000,0.750000,1.556703,4.000000,49.000000,246.000000,0.006429,0.540000,0.110000,1.700000,26.470000,0.032860
401,4,0,0.000000,0.000000,0.000000,0.000000,0.000091,1.625000,1.187500,1.562500,0.000000,0.000000,0.000000,5.000000,6.500000,0.000271,0.220052,0.027778,0.463108,7.355469,0.006176
402,2,2,0.000493,0.000072,0.020691,0.000513,0.000487,4.000000,26.250000,20.000000,0.281250,1.151834,3.500000,113.750000,49.750000,0.002487,0.371173,0.594388,6.271684,142.823980,0.005082
403,2,0,0.000000,0.000000,0.000000,0.000000,0.000091,6.000000,4.750000,16.000000,0.035714,0.274466,1.750000,76.000000,33.500000,0.001292,0.767562,0.397211,10.127066,148.757748,0.137544
404,6,0,0.000000,0.000000,0.000000,0.000000,0.000091,10.944444,7.944444,12.472222,0.039187,0.220749,0.944444,49.055556,35.388889,0.011671,0.164963,0.033477,0.731444,8.911727,0.021225
405,9,1,0.000246,0.000000,0.000246,0.000000,0.000606,1.975309,2.827160,17.111111,0.031903,0.169492,0.753086,15.555556,36.432099,0.006034,0.204376,0.043396,1.229162,23.935070,0.026177
406,1,0,0.000000,0.000000,0.000000,0.000000,0.000091,21.000000,11.000000,26.000000,0.250000,1.264685,8.000000,54.000000,64.000000,0.005311,0.428571,0.054422,0.696145,17.043084,0.019326
